<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sirjan.Jahan.Steel,20220111,5510.00,5520.00,5490.00,5500.00,56390537760,10251516,2546,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220110,5500.00,5510.00,5490.00,5500.00,68408491460,12435807,3227,D,5500.00,5510.00
Sirjan.Jahan.Steel,20220109,5450.00,5510.00,5400.00,5500.00,141364457720,25716292,3424,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220108,5500.00,5520.00,5480.00,5500.00,122901389340,22346304,3453,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220105,5500.00,5502.00,5497.00,5500.00,95391286296,17344589,3070,D,5498.00,5501.00
Sirjan.Jahan.Steel,20220104,5500.00,5501.00,5403.00,5498.00,98974081287,18001331,3529,D,5499.00,5500.00
Sirjan.Jahan.Steel,20220103,5500.00,5520.00,5488.00,5499.00,74284082058,13509809,3230,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220102,5414.00,5530.00,5414.00,5500.00,58874372873,10704344,3117,D,5500.00,5500.00
Sirjan.Jahan.Steel,20220101,5500.00,5508.00,5499.00,5500.00,110375307410,20067386,4805,D,5389.00,5503.00
Sirjan.Jahan.Steel,20211229,5360.00,5403.00,5301.00,5389.00,152843488499,28364032,4663,D,5405.00,5400.00
Sirjan.Jahan.Steel,20211228,5400.00,5430.00,5398.00,5405.00,69805511803,12927511,3456,D,5428.00,5398.00
Sirjan.Jahan.Steel,20211227,5400.00,5536.00,5400.00,5428.00,73535346652,13551961,4907,D,5441.00,5408.00
Sirjan.Jahan.Steel,20211226,5323.00,5460.00,5323.00,5441.00,84077702703,15457759,3428,D,5486.00,5445.00
Sirjan.Jahan.Steel,20211225,5518.00,5549.00,5340.00,5486.00,119346195511,21754281,4566,D,5474.00,5400.00
Sirjan.Jahan.Steel,20211222,5411.00,5550.00,5400.00,5474.00,78618164672,14317456,3535,D,5328.00,5502.00
Sirjan.Jahan.Steel,20211221,5255.00,5430.00,5227.00,5328.00,53299805452,9949907,3142,D,5281.00,5400.00
Sirjan.Jahan.Steel,20211220,5210.00,5360.00,5204.00,5281.00,82787179592,15677159,3667,D,5291.00,5300.00
Sirjan.Jahan.Steel,20211219,5300.00,5350.00,5201.00,5291.00,109048466085,20609891,4318,D,5331.00,5300.00
Sirjan.Jahan.Steel,20211218,5210.00,5410.00,5210.00,5331.00,74230419392,13913890,4357,D,5301.00,5311.00
Sirjan.Jahan.Steel,20211215,5302.00,5330.00,5290.00,5301.00,105446093341,19892914,3676,D,5301.00,5300.00
Sirjan.Jahan.Steel,20211214,5311.00,5350.00,5300.00,5301.00,104530286940,19717968,4085,D,5286.00,5300.00
Sirjan.Jahan.Steel,20211213,5423.00,5423.00,5153.00,5286.00,125513860515,23743125,5018,D,5423.00,5198.00
Sirjan.Jahan.Steel,20211212,5421.00,5447.00,5351.00,5423.00,65060509246,12049186,3628,D,5494.00,5423.00
Sirjan.Jahan.Steel,20211211,5421.00,5505.00,5421.00,5494.00,136787485928,24899853,4974,D,5484.00,5447.00
Sirjan.Jahan.Steel,20211208,5421.00,5599.00,5421.00,5484.00,89231981435,16270011,4820,D,5465.00,5474.00
Sirjan.Jahan.Steel,20211207,5402.00,5503.00,5400.00,5465.00,113084169790,20694142,4449,D,5505.00,5500.00
Sirjan.Jahan.Steel,20211206,5420.00,5557.00,5420.00,5505.00,107411971546,19512624,5296,D,5421.00,5502.00
Sirjan.Jahan.Steel,20211205,5410.00,5501.00,5364.00,5421.00,74252905799,13694143,5030,D,5414.00,5410.00
Sirjan.Jahan.Steel,20211204,5495.00,5530.00,5335.00,5414.00,116864570838,21583777,7254,D,5512.00,5496.00
Sirjan.Jahan.Steel,20211201,5350.00,5619.00,5345.00,5512.00,206302698850,37426780,9189,D,5358.00,5525.00
Sirjan.Jahan.Steel,20211130,5325.00,5502.00,5220.00,5358.00,205965681548,38439471,7596,D,5415.00,5417.00
Sirjan.Jahan.Steel,20211129,5431.00,5510.00,5330.00,5415.00,169743584515,31348835,7872,D,5477.00,5338.00
Sirjan.Jahan.Steel,20211128,5530.00,5600.00,5341.00,5477.00,153877102443,28095044,8836,D,5602.00,5431.00
Sirjan.Jahan.Steel,20211127,5610.00,5658.00,5557.00,5602.00,208714438012,37257065,7953,D,5656.00,5600.00
Sirjan.Jahan.Steel,20211124,5636.00,5691.00,5595.00,5656.00,185053576155,32718094,7913,D,5686.00,5686.00
Sirjan.Jahan.Steel,20211123,5668.00,5710.00,5610.00,5686.00,213276739664,37509403,11946,D,5685.00,5690.00
Sirjan.Jahan.Steel,20211122,5710.00,5770.00,5663.00,5685.00,144287856939,25381724,9021,D,5663.00,5717.00
Sirjan.Jahan.Steel,20211121,5591.00,5715.00,5560.00,5663.00,172165090446,30402775,8485,D,5641.00,5709.00
Sirjan.Jahan.Steel,20211120,5800.00,5800.00,5580.00,5641.00,179777730639,31871769,10079,D,5785.00,5638.00
Sirjan.Jahan.Steel,20211117,5750.00,5839.00,5747.00,5785.00,195562986480,33805315,8259,D,5786.00,5787.00
Sirjan.Jahan.Steel,20211116,5776.00,5853.00,5738.00,5786.00,145898110408,25215239,7716,D,5850.00,5786.00
Sirjan.Jahan.Steel,20211115,5949.00,5949.00,5781.00,5850.00,244747360605,41838465,8877,D,5858.00,5859.00
Sirjan.Jahan.Steel,20211114,5792.00,5930.00,5765.00,5858.00,319775284277,54592156,12495,D,5792.00,5910.00
Sirjan.Jahan.Steel,20211113,5900.00,5950.00,5735.00,5792.00,184177574732,31798598,10859,D,5951.00,5764.00
Sirjan.Jahan.Steel,20211110,5955.00,6030.00,5860.00,5951.00,234107594217,39339007,11308,D,5962.00,5998.00
Sirjan.Jahan.Steel,20211109,5900.00,6049.00,5865.00,5962.00,227211820013,38107872,10675,D,5966.00,5970.00
Sirjan.Jahan.Steel,20211108,5850.00,6000.00,5850.00,5966.00,265922006879,44573458,10888,D,5976.00,5978.00
Sirjan.Jahan.Steel,20211107,6200.00,6200.00,5910.00,5976.00,357720525455,59858814,12797,D,6195.00,5921.00
Sirjan.Jahan.Steel,20211106,6090.00,6280.00,6043.00,6195.00,350974382402,56657321,13586,D,6018.00,6200.00
Sirjan.Jahan.Steel,20211103,5980.00,6110.00,5940.00,6018.00,284625186314,47294291,11773,D,5929.00,6043.00
Sirjan.Jahan.Steel,20211102,5830.00,5999.00,5802.00,5929.00,235269953121,39679008,10171,D,5897.00,5940.00
Sirjan.Jahan.Steel,20211101,5770.00,5970.00,5770.00,5897.00,232575299794,39439360,10672,D,5779.00,5896.00
Sirjan.Jahan.Steel,20211031,6000.00,6000.00,5717.00,5779.00,253116374980,43798263,15721,D,5851.00,5750.00
Sirjan.Jahan.Steel,20211030,5880.00,6050.00,5570.00,5851.00,880374713210,150465400,29804,D,5858.00,6050.00
Sirjan.Jahan.Steel,20211027,5841.00,5951.00,5805.00,5858.00,221538393647,37816372,13138,D,5870.00,5873.00
Sirjan.Jahan.Steel,20211026,5840.00,5990.00,5830.00,5870.00,222612546400,37925689,13240,D,5901.00,5902.00
Sirjan.Jahan.Steel,20211025,5980.00,6010.00,5759.00,5901.00,459995467715,77949068,18725,D,5992.00,5950.00
Sirjan.Jahan.Steel,20211023,6110.00,6150.00,5811.00,5992.00,469178926565,78304878,17253,D,5990.00,5992.00
Sirjan.Jahan.Steel,20211020,5940.00,6152.00,5881.00,5990.00,407580444226,68043383,16012,D,5995.00,6150.00
Sirjan.Jahan.Steel,20211019,5971.00,6050.00,5970.00,5995.00,334893340755,55864408,16511,D,5990.00,6010.00
