<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepid.Farab.Kavir,20220702,5010.00,5140.00,4807.00,5003.00,112627477330,22511015,1351,D,4954.00,4969.00
Sepid.Farab.Kavir,20220629,4760.00,4985.00,4701.00,4954.00,207867724016,41956292,1635,D,4748.00,4985.00
Sepid.Farab.Kavir,20220628,4859.00,4859.00,4640.00,4748.00,110139089670,23195135,1153,D,4785.00,4749.00
Sepid.Farab.Kavir,20220627,4710.00,4900.00,4669.00,4785.00,67653864542,14137388,1094,D,4840.00,4725.00
Sepid.Farab.Kavir,20220626,4857.00,4957.00,4705.00,4840.00,115275320701,23816193,1345,D,4952.00,4715.00
Sepid.Farab.Kavir,20220625,4920.00,5069.00,4725.00,4952.00,184262517530,37207017,2165,D,4835.00,4857.00
Sepid.Farab.Kavir,20220622,4780.00,4910.00,4709.00,4835.00,140656339285,29088273,1858,D,4735.00,4910.00
Sepid.Farab.Kavir,20220621,4695.00,4771.00,4650.00,4735.00,89045710061,18805200,1398,D,4621.00,4765.00
Sepid.Farab.Kavir,20220620,4572.00,4700.00,4480.00,4621.00,85261729461,18449097,1169,D,4572.00,4699.00
Sepid.Farab.Kavir,20220619,4320.00,4631.00,4320.00,4572.00,137466976245,30067660,1966,D,4411.00,4630.00
Sepid.Farab.Kavir,20220618,4510.00,4510.00,4340.00,4411.00,115480968455,26180669,1254,D,4568.00,4340.00
Sepid.Farab.Kavir,20220615,4690.00,4690.00,4273.00,4568.00,222096309213,48617300,2548,D,4492.00,4556.00
Sepid.Farab.Kavir,20220614,4516.00,4516.00,4516.00,4492.00,39876356772,8830017,379,D,4301.00,4516.00
Sepid.Farab.Kavir,20220613,4301.00,4301.00,4301.00,4301.00,52288241929,12157229,355,D,4097.00,4301.00
Sepid.Farab.Kavir,20220612,4028.00,4179.00,4028.00,4097.00,23849412163,5782879,524,D,4060.00,4110.00
Sepid.Farab.Kavir,20220611,4160.00,4160.00,4010.00,4060.00,22810001337,5625053,545,D,4067.00,4100.00
Sepid.Farab.Kavir,20220608,4100.00,4181.00,4010.00,4067.00,18356772575,4469371,595,D,4035.00,4126.00
Sepid.Farab.Kavir,20220607,3980.00,4089.00,3980.00,4035.00,26228648884,6487105,552,D,4019.00,4037.00
Sepid.Farab.Kavir,20220606,4131.00,4199.00,3980.00,4019.00,55779195965,13879069,857,D,4189.00,4010.00
Sepid.Farab.Kavir,20220601,4250.00,4290.00,4160.00,4189.00,27532688597,6554504,604,D,4167.00,4214.00
Sepid.Farab.Kavir,20220531,4120.00,4282.00,4031.00,4167.00,38296615776,9181509,849,D,4116.00,4190.00
Sepid.Farab.Kavir,20220530,4050.00,4190.00,4050.00,4116.00,32986427718,8024397,810,D,4136.00,4062.00
Sepid.Farab.Kavir,20220529,4148.00,4263.00,4050.00,4136.00,44891453033,10854266,818,D,4149.00,4110.00
Sepid.Farab.Kavir,20220528,4250.00,4295.00,4090.00,4149.00,36188017232,8740330,744,D,4214.00,4091.00
Sepid.Farab.Kavir,20220525,4105.00,4291.00,4105.00,4214.00,39179916410,9295768,934,D,4198.00,4250.00
Sepid.Farab.Kavir,20220524,4231.00,4290.00,4075.00,4198.00,40944089051,9755006,816,D,4231.00,4181.00
Sepid.Farab.Kavir,20220523,4350.00,4490.00,4198.00,4231.00,109369573496,25852531,1865,D,4418.00,4250.00
Sepid.Farab.Kavir,20220522,4341.00,4480.00,4282.00,4418.00,34549749153,7807289,795,D,4389.00,4391.00
Sepid.Farab.Kavir,20220521,4392.00,4540.00,4348.00,4389.00,98978414763,22552070,1617,D,4576.00,4350.00
Sepid.Farab.Kavir,20220518,4620.00,4670.00,4535.00,4576.00,71538101396,15634191,1110,D,4755.00,4555.00
Sepid.Farab.Kavir,20220517,4874.00,4950.00,4660.00,4755.00,75165768998,15809184,1705,D,4831.00,4690.00
Sepid.Farab.Kavir,20220516,4890.00,4907.00,4711.00,4831.00,97371487503,20154266,1874,D,4787.00,4810.00
Sepid.Farab.Kavir,20220515,4798.00,4798.00,4663.00,4787.00,218009531823,45539645,2269,D,4570.00,4798.00
Sepid.Farab.Kavir,20220514,4590.00,4662.00,4360.00,4570.00,172004966825,37635016,2398,D,4440.00,4662.00
Sepid.Farab.Kavir,20220511,4380.00,4446.00,4310.00,4440.00,135802068736,30586972,1372,D,4235.00,4446.00
Sepid.Farab.Kavir,20220510,4210.00,4350.00,4150.00,4235.00,97512448132,23027752,1472,D,4347.00,4309.00
Sepid.Farab.Kavir,20220509,4398.00,4480.00,4230.00,4347.00,72546998822,16689801,1506,D,4425.00,4245.00
Sepid.Farab.Kavir,20220508,4553.00,4553.00,4369.00,4425.00,71806687805,16226807,1775,D,4484.00,4400.00
Sepid.Farab.Kavir,20220507,4452.00,4554.00,4420.00,4484.00,48929901042,10911029,1274,D,4414.00,4472.00
Sepid.Farab.Kavir,20220502,4520.00,4520.00,4381.00,4414.00,54847226074,12425910,1332,D,4540.00,4399.00
Sepid.Farab.Kavir,20220501,4730.00,4750.00,4402.00,4540.00,110119419807,24255701,2064,D,4610.00,4470.00
Sepid.Farab.Kavir,20220430,4490.00,4628.00,4420.00,4610.00,295144992043,64024292,2331,D,4408.00,4628.00
Sepid.Farab.Kavir,20220427,4410.00,4410.00,4350.00,4408.00,328864116440,74606156,2646,D,4200.00,4410.00
Sepid.Farab.Kavir,20220426,4130.00,4281.00,4100.00,4200.00,135551721837,32274462,1266,D,4078.00,4281.00
Sepid.Farab.Kavir,20220425,3933.00,4150.00,3932.00,4078.00,52110476378,12779181,1074,D,4065.00,4131.00
Sepid.Farab.Kavir,20220424,4110.00,4110.00,3990.00,4065.00,42368679709,10423059,946,D,4097.00,4001.00
Sepid.Farab.Kavir,20220420,4100.00,4145.00,4051.00,4097.00,42859897785,10461173,896,D,4087.00,4127.00
Sepid.Farab.Kavir,20220419,4000.00,4119.00,3954.00,4087.00,75082306435,18370072,1154,D,4089.00,4110.00
Sepid.Farab.Kavir,20220418,3999.00,4140.00,3999.00,4089.00,60714806381,14847003,1437,D,3948.00,4070.00
Sepid.Farab.Kavir,20220417,3930.00,4009.00,3855.00,3948.00,36862280726,9330799,966,D,3903.00,3995.00
Sepid.Farab.Kavir,20220416,3770.00,4000.00,3770.00,3903.00,52532152879,13459712,1197,D,3823.00,3929.00
